Time,LT_accel.x,LT_accel.y,LT_accel.z,LT_gyro.x,LT_gyro.y,LT_gyro.z,RS_accel.x,RS_accel.y,RS_accel.z,RS_gyro.x,RS_gyro.y,RS_gyro.z,RF_accel.x,RF_accel.y,RF_accel.z,RF_gyro.x,RF_gyro.y,RF_gyro.z,RT_accel.x,RT_accel.y,RT_accel.z,RT_gyro.x,RT_gyro.y,RT_gyro.z,P_accel.x,P_accel.y,P_accel.z,P_gyro.x,P_gyro.y,P_gyro.z,LS_accel.x,LS_accel.y,LS_accel.z,LS_gyro.x,LS_gyro.y,LS_gyro.z,LF_accel.x,LF_accel.y,LF_accel.z,LF_gyro.x,LF_gyro.y,LF_gyro.z
0.0,-1.17216,-9.86311,-0.956185,0.0628627,-0.158556,0.115094,0.670629,9.55948,-2.08113,-0.0122392,0.00666039,-0.0843097,5.17336,-2.67619,7.99401,-0.0640638,-0.0359096,0.0801299,-0.702207,9.76806,-1.3923,0.0576349,0.0332035,-0.0112767,8.42759,1.33357,5.21457,0.033015,-0.153892,0.0314175,0.0,0.0,0.0,0.0,0.0,0.0,5.20997,2.03834,8.14705,0.0998131,0.0144491,-0.0531172
0.001,-1.14976,-9.86442,-0.96191,0.0597412,-0.158585,0.114358,0.658611,9.55163,-2.07833,-0.0144931,0.00528239,-0.0848458,5.17697,-2.66931,7.98006,-0.0661242,-0.0367563,0.0803121,-0.6855,9.75815,-1.3743,0.0582248,0.0308279,-0.0110012,8.43142,1.31801,5.20883,0.03195,-0.153413,0.0314707,0.0,0.0,0.0,0.0,0.0,0.0,5.23174,2.02219,8.13674,0.101288,0.0133464,-0.0558579
0.002,-1.12736,-9.86572,-0.967636,0.0566196,-0.158614,0.113623,0.646593,9.54379,-2.07553,-0.016747,0.00390438,-0.0853819,5.18058,-2.66243,7.96611,-0.0681846,-0.0376031,0.0804944,-0.668793,9.74823,-1.35629,0.0588147,0.0284523,-0.0107256,8.43525,1.30245,5.20308,0.030885,-0.152934,0.031524,0.0,0.0,0.0,0.0,0.0,0.0,5.25351,2.00604,8.12643,0.102764,0.0122437,-0.0585987
0.003,-1.10497,-9.86702,-0.973361,0.0534981,-0.158642,0.112887,0.634575,9.53595,-2.07273,-0.0190008,0.00252638,-0.085918,5.18419,-2.65555,7.95215,-0.0702449,-0.0384498,0.0806767,-0.652086,9.73831,-1.33828,0.0594046,0.0260767,-0.0104501,8.43908,1.28688,5.19733,0.02982,-0.152455,0.0315772,0.0,0.0,0.0,0.0,0.0,0.0,5.27527,1.9899,8.11612,0.104239,0.0111409,-0.0613395
0.004,-1.08257,-9.86833,-0.979087,0.0503766,-0.158671,0.112151,0.622557,9.52811,-2.06993,-0.0212547,0.00114837,-0.0864541,5.1878,-2.64867,7.9382,-0.0723053,-0.0392965,0.080859,-0.635379,9.7284,-1.32028,0.0599945,0.0237011,-0.0101745,8.44291,1.27132,5.19159,0.028755,-0.151975,0.0316305,0.0,0.0,0.0,0.0,0.0,0.0,5.29704,1.97375,8.10581,0.105715,0.0100382,-0.0640802
0.005,-1.09542,-9.88915,-1.00449,0.0469679,-0.156929,0.110616,0.61829,9.51489,-2.06144,-0.0222086,-0.000667728,-0.086301,5.18131,-2.65236,7.93579,-0.0737109,-0.0401719,0.0810096,-0.619786,9.72396,-1.31023,0.0582104,0.0221736,-0.0112195,8.44674,1.25576,5.18584,0.02769,-0.151496,0.0316837,0.0,0.0,0.0,0.0,0.0,0.0,5.29571,1.98314,8.09931,0.10756,0.008313,-0.0654555
0.006,-1.13647,-9.92559,-1.04564,0.0433295,-0.15377,0.10844,0.620223,9.49738,-2.04841,-0.0221224,-0.00283431,-0.0855966,5.16673,-2.66452,7.9426,-0.0745928,-0.0410701,0.0811348,-0.605084,9.72392,-1.30654,0.0545272,0.0213246,-0.013321,8.45057,1.2402,5.1801,0.026625,-0.151017,0.031737,0.0,0.0,0.0,0.0,0.0,0.0,5.2759,2.01294,8.09585,0.109703,0.00608986,-0.0657385
0.007,-1.17752,-9.96203,-1.08678,0.0396912,-0.150611,0.106265,0.622156,9.47987,-2.03538,-0.0220363,-0.00500089,-0.0848922,5.15216,-2.67667,7.94942,-0.0754746,-0.0419683,0.08126,-0.590381,9.72388,-1.30285,0.050844,0.0204756,-0.0154224,8.45441,1.22463,5.17435,0.02556,-0.150538,0.0317902,0.0,0.0,0.0,0.0,0.0,0.0,5.25609,2.04275,8.0924,0.111845,0.00386671,-0.0660214
0.008,-1.21858,-9.99847,-1.12793,0.0360528,-0.147452,0.10409,0.624089,9.46235,-2.02234,-0.0219501,-0.00716746,-0.0841877,5.13758,-2.68882,7.95624,-0.0763565,-0.0428666,0.0813852,-0.575679,9.72383,-1.29917,0.0471608,0.0196267,-0.0175239,8.45824,1.20907,5.1686,0.024495,-0.150058,0.0318435,0.0,0.0,0.0,0.0,0.0,0.0,5.23628,2.07256,8.08895,0.113987,0.00164357,-0.0663043
0.009,-1.25646,-10.0285,-1.16719,0.0322496,-0.144079,0.101908,0.625611,9.4435,-2.01301,-0.0216756,-0.00940828,-0.0834442,5.12469,-2.69992,7.96311,-0.0770513,-0.0436867,0.0815214,-0.565529,9.72325,-1.29715,0.0437411,0.0187942,-0.0192886,8.46207,1.19351,5.16286,0.02343,-0.149579,0.0318967,0.0,0.0,0.0,0.0,0.0,0.0,5.21938,2.10188,8.08431,0.115727,-0.00014499,-0.0664653
0.01,-1.26899,-10.0074,-1.1913,0.0271274,-0.138999,0.0996781,0.623844,9.41396,-2.03328,-0.0198941,-0.012243,-0.0823875,5.12523,-2.7026,7.97044,-0.0762502,-0.0438825,0.0817449,-0.591797,9.71833,-1.30847,0.0424292,0.0180942,-0.0183596,8.4659,1.17795,5.15711,0.022365,-0.1491,0.03195,0.0,0.0,0.0,0.0,0.0,0.0,5.22572,2.12729,8.07021,0.114246,0.00154317,-0.0656508
